name,category,serving_size_g,calories,sodium_mg,sugar_g,carbs_g,protein_g,fat_g,sample_count,source_dataset
두유 카페라떼,음료 및 차류,355.0,37.0,32.5,3.0,3.96,1.4,1.76,2,음식
두충차,차류,,354.0,31.0,,67.9,14.3,3.8,1,원재료성식품
둑중개,어패류 및 기타 수산물,,120.0,895.0,0.2,0.2,15.8,5.5,3,원재료성식품
둥굴레,채소류,,170.5,8.0,,39.7,9.95,0.55,2,원재료성식품
둥굴레차,차류,,1.0,0.0,0.0,0.27,0.0,0.01,1,원재료성식품
드렁허리,어패류 및 기타 수산물,,92.0,,0.0,0.0,17.9,1.7,1,원재료성식품
드레싱,조미식품,345.0,225.0,805.0,12.6,17.5,1.0,14.67,525,가공식품
들기름,식용유지류,250.0,840.0,0.0,0.0,0.0,0.0,93.0,648,가공식품
들깨,채소류,,42.0,1.0,0.0,7.48,4.42,0.57,6,원재료성식품
들깨국,국 및 탕류,190.0,15.0,155.0,0.41,1.66,0.63,0.76,3,음식
들깨죽,죽 및 스프류,170.8,153.5,630.5,0.26,21.32,3.75,5.87,2,음식
들깻잎장아찌,장아찌·절임류,100.0,124.0,1809.0,16.41,26.0,4.03,0.42,1,음식
등심돈가스,튀김류,108.9,174.0,250.0,1.61,14.56,13.8,5.89,3,음식
딸기,과일류,,34.0,1.0,6.14,8.33,0.75,0.14,5,원재료성식품
딸기넥타,음료 및 차류,355.0,31.0,6.0,6.39,7.96,0.4,0.09,1,음식
딸기바나나 스무디,음료 및 차류,355.0,54.0,11.0,9.34,11.75,1.1,0.68,3,음식
땅콩,견과 및 종실류,,562.0,4.5,4.79,22.73,24.07,44.67,8,원재료성식품
땅콩기름,유지류,,884.0,0.0,0.0,0.0,0.0,100.0,1,원재료성식품
땅콩기름(낙화생유),식용유지류,590.0,898.0,0.0,0.0,0.0,0.0,99.6,27,가공식품
땅콩버터,농산가공식품류,260.0,610.0,10.0,5.0,22.0,26.0,48.0,402,가공식품
땅콩조림,조림류,17.5,268.0,363.0,4.71,15.96,12.0,19.42,4,음식
땅콩죽,죽 및 스프류,198.1,146.0,163.0,0.46,24.78,3.9,3.31,3,음식
때죽,견과 및 종실류,,551.0,,,31.8,13.6,44.7,1,원재료성식품
떡,과자류·빵류 또는 떡류,160.0,231.0,243.0,5.41,49.72,4.39,1.1,5838,가공식품
떡갈비,구이류,200.0,202.0,404.0,0.4,2.46,21.38,11.82,1,음식
떡강정,튀김류,151.6,227.0,317.0,2.59,36.43,3.61,5.09,8,음식
떡국,면 및 만두류,600.0,86.0,214.0,0.15,16.69,2.9,1.16,15,음식
떡만두국,면 및 만두류,600.0,86.0,194.0,0.18,14.56,2.87,1.62,11,음식
떡볶이,볶음류,185.0,150.0,367.0,4.3,26.45,4.09,1.86,45,음식
떡산적,전·적 및 부침류,125.2,157.0,417.5,2.92,18.95,8.85,5.25,4,음식
떡조개,어패류 및 기타 수산물,,82.5,,7.4,6.2,11.53,0.88,2,원재료성식품
또띠아,빵 및 과자류,,228.0,430.0,3.23,28.67,10.32,9.45,25,음식
또띠아/난,과자류·빵류 또는 떡류,360.0,295.0,519.0,2.17,49.29,7.8,7.1,179,가공식품
뜸부기,해조류,,128.0,,46.8,52.1,6.1,2.5,1,원재료성식품
라떼,음료 및 차류,100.0,69.0,30.0,7.97,9.07,1.69,2.1,988,음식
라멘,면 및 만두류,100.0,89.0,388.0,0.93,9.12,4.14,2.77,5,음식
라면,면 및 만두류,570.0,95.5,274.0,0.08,13.82,2.6,3.21,30,음식
라면과자,면류,90.0,461.0,954.5,3.92,67.78,8.89,16.76,32,가공식품
라벤다,조미료류,,330.0,35.0,,63.3,12.6,8.7,1,원재료성식품
라볶이,볶음류,475.0,113.0,150.0,1.04,18.5,2.0,3.39,3,음식
라이마빈스,두류,,214.0,0.0,0.85,43.4,15.75,1.35,2,원재료성식품
라이스페이퍼,면류,300.0,340.0,320.0,0.0,82.99,1.0,0.1,137,가공식품
라임,과일류,,30.0,2.0,1.69,10.54,0.7,0.2,1,원재료성식품
라임 주스,과일류,,25.0,2.0,1.69,8.42,0.42,0.07,1,원재료성식품
라조기,튀김류,198.0,187.0,281.0,1.4,13.12,10.33,5.7,3,음식
라즈베리,과일류,,54.0,2.5,5.48,12.25,1.17,0.73,2,원재료성식품
런천미트구이,구이류,42.8,303.0,1087.0,1.3,11.08,21.6,19.1,5,음식
레몬,과일류,,36.0,2.0,1.87,9.27,0.71,0.08,1,원재료성식품
레몬그라스(시트로넬라),조미료류,,99.0,6.0,,25.31,1.82,0.49,1,원재료성식품
레몬차,음료 및 차류,,43.0,7.0,9.24,10.14,0.05,0.0,51,음식
레몬청차,음료 및 차류,100.0,60.0,3.0,16.33,14.8,0.13,0.01,1,음식
레몬홍차,음료 및 차류,,25.0,1.0,5.29,,0.15,,5,음식
